"Series";"Time";"Value"
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:00:00+00:00";30.539819792565567
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:01:00+00:00";30.538798415260157
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:02:00+00:00";30.53414750074445
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:03:00+00:00";30.548367747871552
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:04:00+00:00";30.515008835521655
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:05:00+00:00";30.513871945306704
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:06:00+00:00";30.515592479696174
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:07:00+00:00";30.509117677135094
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:08:00+00:00";30.514692694927124
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:09:00+00:00";30.53537558536167
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:10:00+00:00";30.53035381361007
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:11:00+00:00";30.547832740711577
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:12:00+00:00";30.53070643196551
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:13:00+00:00";30.548197518320652
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:14:00+00:00";30.515045313282563
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:15:00+00:00";30.507658566698794
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:16:00+00:00";30.522620528297683
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:17:00+00:00";30.52871839399605
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:18:00+00:00";30.52064464958186
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:19:00+00:00";30.52874879213014
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:20:00+00:00";30.537229871541133
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:21:00+00:00";30.535934911028917
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:22:00+00:00";30.534956091111233
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:23:00+00:00";30.535886274014373
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:24:00+00:00";30.510899007792744
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:25:00+00:00";30.524304584926245
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:26:00+00:00";30.52400060358535
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:27:00+00:00";30.514637978285762
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:28:00+00:00";30.509458136236898
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:29:00+00:00";30.531162403976854
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:30:00+00:00";30.538859211528333
"ipl-jenkins.rd5.prod: usage";"2021-09-19T00:31:00+00:00";30.52851776631106
