"Series";"Time";"Value"
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:00:00+00:00";25.87264835474963
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:01:00+00:00";25.872459886318275
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:02:00+00:00";25.854287881759525
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:03:00+00:00";25.844061949451795
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:04:00+00:00";25.842912899983208
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:05:00+00:00";25.841459869173725
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:06:00+00:00";25.824552426993105
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:07:00+00:00";25.8072437294425
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:08:00+00:00";25.812168227165014
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:09:00+00:00";25.82130590627234
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:10:00+00:00";25.836352982646677
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:11:00+00:00";25.821749719030045
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:12:00+00:00";25.836985263835743
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:13:00+00:00";25.816588115861638
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:14:00+00:00";25.80258065567316
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:15:00+00:00";25.81801074853703
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:16:00+00:00";25.81486150184535
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:17:00+00:00";25.815426907139415
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:18:00+00:00";25.80576030049893
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:19:00+00:00";25.806240591017545
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:20:00+00:00";25.842925059236844
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:21:00+00:00";25.825889944893046
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:22:00+00:00";25.83261401215366
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:23:00+00:00";25.819627929270595
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:24:00+00:00";25.808295504882
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:25:00+00:00";25.797814228247915
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:26:00+00:00";25.821980744849128
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:27:00+00:00";25.800428467779618
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:28:00+00:00";25.79812428921563
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:29:00+00:00";25.815688331092584
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:30:00+00:00";25.840554004777857
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:31:00+00:00";25.841897602304616
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:32:00+00:00";25.833069984165004
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:33:00+00:00";25.842864262968664
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:34:00+00:00";25.828169804949766
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:35:00+00:00";25.80698230548933
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:36:00+00:00";29.752775623225585
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:37:00+00:00";32.53188247497717
"ipl-jenkins.rd5.prod: usage";"2021-08-12T00:38:00+00:00";34.81713516068271
