"Series";"Time";"Value"
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:00:00+00:00";1.3571053583298038
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:01:00+00:00";0.21700414374417676
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:02:00+00:00";0.34745033139181203
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:03:00+00:00";0.30883766396848955
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:04:00+00:00";0.2513378598874141
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:05:00+00:00";0.3353592395548759
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:06:00+00:00";0.2978652973814917
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:07:00+00:00";0.3194999448610929
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:08:00+00:00";0.27101732495488307
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:09:00+00:00";0.2538557873355387
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:10:00+00:00";0.3397592925441302
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:11:00+00:00";0.3384212690174735
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:12:00+00:00";0.1870890044512663
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:13:00+00:00";0.3167756276985898
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:14:00+00:00";0.32031294154883483
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:15:00+00:00";0.28103582319120335
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:16:00+00:00";0.3219055312429333
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:17:00+00:00";0.28380133646217587
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:18:00+00:00";0.29699248180054383
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:19:00+00:00";0.33832492259772096
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:20:00+00:00";0.3867813602479089
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:21:00+00:00";0.2159414796340684
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:22:00+00:00";0.3314217292056725
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:23:00+00:00";0.261721651542004
"ipl-jenkins.rd5.prod: usage";"2021-10-26T16:24:00+00:00";0.3159730706677948
