"Series";"Time";"Value"
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:00:00+00:00";0.6080569461219909
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:01:00+00:00";0.2828022597591229
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:02:00+00:00";0.2969460902478147
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:03:00+00:00";0.31478734745520853
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:04:00+00:00";0.2567638805482204
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:05:00+00:00";0.3437943214487831
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:06:00+00:00";0.3346286726983294
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:07:00+00:00";0.32655702815925736
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:08:00+00:00";0.17266814709101652
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:09:00+00:00";0.43759323482427703
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:10:00+00:00";0.3820802361261286
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:11:00+00:00";0.3241849017032905
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:12:00+00:00";0.31370928109276974
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:13:00+00:00";0.28769389795365896
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:14:00+00:00";0.28460376283592836
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:15:00+00:00";0.33171671950458403
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:16:00+00:00";0.28691493687620095
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:17:00+00:00";0.19364181916490963
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:18:00+00:00";0.28381192823263746
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:19:00+00:00";0.3521702311800823
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:20:00+00:00";0.32727084202804235
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:21:00+00:00";0.32275235033588956
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:22:00+00:00";0.1113275789208501
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:23:00+00:00";0.35008436497881235
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:24:00+00:00";0.2773750964160797
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:25:00+00:00";0.23935015899986922
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:26:00+00:00";0.3141114541185033
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:27:00+00:00";0.29943719026293536
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:28:00+00:00";0.25835342589880383
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:29:00+00:00";0.30961223453017794
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:30:00+00:00";16.40929123406879
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:31:00+00:00";22.265144362219814
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:32:00+00:00";27.05958523563973
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:33:00+00:00";25.44572981066709
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:34:00+00:00";11.103916681595038
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:35:00+00:00";40.861326139119306
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:36:00+00:00";47.281365154606675
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:37:00+00:00";27.123078729726146
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:38:00+00:00";20.243568207502847
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:39:00+00:00";21.789680318621905
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:40:00+00:00";17.639770021473254
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:41:00+00:00";9.25295038366896
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:42:00+00:00";7.6947826263571955
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:43:00+00:00";7.714775102961852
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:44:00+00:00";3.794517310529514
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:45:00+00:00";0.5329364811984192
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:46:00+00:00";0.33257222119843277
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:47:00+00:00";0.5435925898585623
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:48:00+00:00";0.3381684256871864
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:49:00+00:00";0.4822567416815531
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:50:00+00:00";0.6130187954683919
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:51:00+00:00";0.27463613664912145
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:52:00+00:00";0.2769338636054357
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:53:00+00:00";0.34587261518117884
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:54:00+00:00";0.26403590744384076
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:55:00+00:00";0.30306409041406823
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:56:00+00:00";0.7114748115025833
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:57:00+00:00";0.29389326849278063
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:58:00+00:00";0.32730724331185
"ipl-jenkins.rd5.prod: usage";"2021-11-23T00:59:00+00:00";0.3787022891823284
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:00:00+00:00";0.3456365002454902
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:01:00+00:00";0.2793844257331415
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:02:00+00:00";0.35601086346896693
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:03:00+00:00";0.30737241569691776
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:04:00+00:00";0.21119473991252846
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:05:00+00:00";0.6656645911392047
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:06:00+00:00";0.2816792225566189
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:07:00+00:00";0.24979183894286905
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:08:00+00:00";0.32305360500494373
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:09:00+00:00";0.279409999205825
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:10:00+00:00";0.39784761735160146
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:11:00+00:00";0.23888054955841653
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:12:00+00:00";0.32402855229601357
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:13:00+00:00";0.3245644023242278
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:14:00+00:00";0.2308275294249995
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:15:00+00:00";0.2372544731460664
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:16:00+00:00";0.31648547059354826
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:17:00+00:00";0.24750551070468418
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:18:00+00:00";0.33536282482378965
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:19:00+00:00";0.1999256031791532
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:20:00+00:00";0.40317852856790637
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:21:00+00:00";0.3264086973422735
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:22:00+00:00";0.2843246528246084
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:23:00+00:00";0.3092298129369908
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:24:00+00:00";0.2789434695749833
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:25:00+00:00";0.29103266445949316
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:26:00+00:00";0.30248177513064434
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:27:00+00:00";0.2018765674927181
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:28:00+00:00";0.3047643419629935
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:29:00+00:00";0.3469852608115218
"ipl-jenkins.rd5.prod: usage";"2021-11-23T01:30:00+00:00";0.37193706112627467
